JID,Year,Injury,Drunk,Medical_Fee,Care_Fee,Work_Loss,Fault_Ratio,Verdict_Total,Mental_Damage,Injury_Level,Court_KMEV,Court_KSEV,Court_NHEV,Court_PCEV,Court_SCDV,Court_SJEV,Court_SLEV,Court_TNEV,Court_TYEV,Court_臺灣南投地方法院,Court_臺灣嘉義地方法院,Court_臺灣基隆地方法院,Court_臺灣士林地方法院,Court_臺灣宜蘭地方法院,Court_臺灣屏東地方法院,Court_臺灣彰化地方法院,Court_臺灣新北地方法院,Court_臺灣新竹地方法院,Court_臺灣桃園地方法院,Court_臺灣橋頭地方法院,Court_臺灣澎湖地方法院,Court_臺灣臺中地方法院,Court_臺灣臺北地方法院,Court_臺灣臺南地方法院,Court_臺灣臺東地方法院,Court_臺灣花蓮地方法院,Court_臺灣苗栗地方法院,Court_臺灣雲林地方法院,Court_臺灣高等法院,Court_臺灣高雄地方法院,Medical_Fee_log,Care_Fee_log,Work_Loss_log,Mental_Damage_log
"CCEV,110,潮簡,372,20230522,1",110,傷害,0,1200,0,3600,20.0,107840,100000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0909098220799835,0.0,8.188966863648876,11.51293546492023
"CCEV,111,潮原簡,50,20230529,1",111,重傷,0,41172,41800,0,40.0,151801,200000,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.6255379807028,10.640675541671662,0.0,12.206077645517674
"CCEV,111,潮原簡,54,20231227,1",111,重傷,0,143846,77000,1266850,60.0,2194078,4100000,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.876505513704872,11.251573687764477,14.052044851756367,15.226497775576945
"CCEV,111,潮簡,1026,20230824,1",111,傷害,0,0,18000,426141,40.0,366150,300000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,9.798182590890704,12.962527903041629,12.611541086966115
"CCEV,111,潮簡,111,20230629,1",111,傷害,0,0,0,677953,30.0,388247,200000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,13.426834718013177,12.206077645517674
"CCEV,111,潮簡,221,20230202,1",111,傷害,0,3150,0,24000,0.0,99525,70000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.055475141757274,0.0,10.085850775128717,11.156264806643742
"CCEV,111,潮簡,287,20230327,1",111,傷害,0,106205,457600,1214703,20.0,1636108,300000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.573135883369211,13.033752904360023,14.010010983677095,12.611541086966115
"CCEV,111,潮簡,386,20231214,1",111,傷害,0,86105,594000,1319278,0.0,2443558,400000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.363334374398987,13.29463628184505,14.092595933213158,12.899222326086994
"CCEV,111,潮簡,408,20230905,1",111,重傷,0,25505,0,0,60.0,690627,300000,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.146668997586845,0.0,0.0,12.611541086966115
"CCEV,111,潮簡,613,20230330,1",111,傷害,0,10032,132000,47600,0.0,387424,250000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.213634938925614,11.790564777297387,10.7706090484022,12.429220196836383
"CCEV,111,潮簡,649,20230302,1",111,傷害,0,9410,0,48000,0.0,388742,50000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.149634496858788,0.0,10.778977123006351,10.819798284210286
"CCEV,111,潮簡,650,20230302,1",111,傷害,0,9410,0,48000,0.0,388742,50000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.149634496858788,0.0,10.778977123006351,10.819798284210286
"CCEV,111,潮簡,661,20230119,1",111,傷害,0,0,0,6030,0.0,36030,30000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,8.704668113450987,10.308985993422082
"CCEV,111,潮簡,700,20230905,1",111,傷害,0,44371,0,1604462,0.0,1962781,1200000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.70036391885855,0.0,14.288299679122813,13.997832948091215
"CCEV,111,潮簡,708,20230202,1",111,傷害,0,0,0,0,0.0,66810,30000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,10.308985993422082
"CCEV,111,潮簡,709,20230202,1",111,傷害,0,0,0,0,0.0,66810,30000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,10.308985993422082
"CCEV,111,潮簡,795,20230119,1",111,傷害,0,0,0,0,0.0,60043,20000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,9.90353755128617
"CCEV,111,潮簡,806,20230330,2",111,傷害,0,121213,2000,142800,0.0,472545,200000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.70531285749756,7.601402334583733,11.869207331664223,12.206077645517674
"CCEV,111,潮簡,840,20230619,1",111,傷害,0,0,2200,1627886,30.0,1362490,250000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,7.696667081526462,14.302793412816206,12.429220196836383
"CCEV,111,潮簡,864,20230307,3",111,傷害,0,0,0,72000,0.0,35984,110000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,11.184435286790631,11.608244735642321
"CCEV,111,潮簡,887,20250313,1",111,傷害,0,6500,0,0,0.0,1660827,300000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.77971129020447,0.0,0.0,12.611541086966115
"CCEV,111,潮簡,970,20230817,1",111,傷害,0,3051,14000,0,0.0,253954,50000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.023552392404348,9.546884034617925,0.0,10.819798284210286
