JID,Year,Injury,Drunk,Medical_Fee,Care_Fee,Work_Loss,Fault_Ratio,Verdict_Total,Mental_Damage,Injury_Level,Court_CDEV,Court_CHDV,Court_CHEV,Court_CLEV,Court_CPEV,Court_CSEV,Court_CTDM,Court_CTDV,Court_CYDV,Court_CYEV,Court_FSEV,Court_FYEV,Court_GSEV,Court_HLDV,Court_HLEV,Court_HLHM,Court_HLHV,Court_HUEV,Court_ILDV,Court_ILEV,Court_KLDV,Court_KMDM,Court_KMEV,Court_KSDM,Court_KSDV,Court_KSEV,Court_KSHM,Court_KSHV,Court_LTEV,Court_MKEM,Court_MKEV,Court_MLDV,Court_NHEV,Court_NTDV,Court_NTEV,Court_OLEV,Court_PCDV,Court_PCEV,Court_PDEV,Court_PHDM,Court_PHDV,Court_PKEV,Court_PTDV,Court_PTEV,Court_SCDV,Court_SDEV,Court_SJEV,Court_SLDV,Court_SLEV,Court_SSEV,Court_STEV,Court_SYEV,Court_TCDV,Court_TCEV,Court_TCHV,Court_TLEV,Court_TNDV,Court_TNEV,Court_TNHV,Court_TPDV,Court_TPEV,Court_TPHV,Court_TTEV,Court_TYDV,Court_TYEV,Court_ULDV,Medical_Fee_log,Care_Fee_log,Work_Loss_log,Mental_Damage_log
"CLEV,111,壢簡,1123,20230112,1",111,傷害,0,3360,0,0,0.0,178612,300000,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.119993827725105,0.0,0.0,12.611541086966115
"CLEV,111,壢簡,1364,20230117,1",111,死亡,0,298757,742487,0,0.0,3218855,2000000,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.607389160112005,13.51776198791223,0.0,14.508658238524095
"CLEV,111,壢簡,1600,20230131,1",111,傷害,0,18752,160800,0,0.0,15000,206555,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.839109018599922,11.987922854613139,0.0,12.238326841059505
"CLEV,111,壢簡,1661,20230112,2",111,傷害,0,1680,0,0,0.0,0,203036,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.427144133408616,0.0,0.0,12.221143507425346
"CLEV,111,壢簡,1702,20230112,1",111,傷害,0,133324,36000,0,0.0,26910,150000,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.800545035468803,10.491301994830229,0.0,11.918397239722838
"CLEV,111,壢簡,849,20230112,2",111,傷害,0,165610,87500,0,0.0,3562110,3000000,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.017396943848018,11.37940550085183,0.0,14.914123179965662
"PDEV,111,斗簡,312,20230118,1",111,傷害,0,293986,66740,294477,0.0,1753513,150000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.591290827656113,11.108574735711244,12.592959576397131,11.918397239722838
"PDEV,111,斗簡,358,20230116,1",111,傷害,0,79633,0,120000,0.0,710932,200000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.28519641631439,0.0,11.695255355062795,12.206077645517674
"PDEV,111,斗簡,398,20230118,1",111,傷害,0,0,0,0,0.0,370635,50000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,10.819798284210286
"PDEV,111,斗簡,414,20230110,1",111,傷害,0,65418,2000,72000,0.0,823178,100000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.088568015130239,7.601402334583733,11.184435286790631,11.51293546492023
